2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:101 | _setup_global_logger | File logging enabled at: /workspace/migration/migrationmzsh2mzb.log
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:112 | _setup_global_logger | Logger 'MigrationMzsh2Mzb' initialized. Effective logging level: INFO.
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:155 | transaction | Starting transaction: txn_ab41bb10d95a
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:340 | _commit_transaction | Transaction txn_ab41bb10d95a committed successfully with 1 operations
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:155 | transaction | Starting transaction: txn_ee7fb25d4583
2025-06-03 20:05:32 - ERROR    [MigrationMzsh2Mzb] | transaction_manager.py:167 | transaction | Transaction txn_ee7fb25d4583 failed: Test exception
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:365 | _rollback_transaction | Transaction txn_ee7fb25d4583 rolled back successfully
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:155 | transaction | Starting transaction: txn_7660437a2feb
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:340 | _commit_transaction | Transaction txn_7660437a2feb committed successfully with 7 operations
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:155 | transaction | Starting transaction: txn_802f7b178bc3
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:340 | _commit_transaction | Transaction txn_802f7b178bc3 committed successfully with 3 operations
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:155 | transaction | Starting transaction: txn_e0dab29acb1b
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:290 | rollback_to_checkpoint | Successfully rolled back transaction txn_e0dab29acb1b to checkpoint cp_71fa8e9b
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:340 | _commit_transaction | Transaction txn_e0dab29acb1b committed successfully with 3 operations
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:155 | transaction | Starting transaction: txn_0
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:155 | transaction | Starting transaction: txn_1
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:155 | transaction | Starting transaction: txn_2
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:340 | _commit_transaction | Transaction txn_0 committed successfully with 1 operations
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:340 | _commit_transaction | Transaction txn_1 committed successfully with 1 operations
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:340 | _commit_transaction | Transaction txn_2 committed successfully with 1 operations
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | rollback_handlers.py:84 | rollback_insert_user | Successfully rolled back user insert for user: 1
2025-06-03 20:05:32 - INFO     [MigrationMzsh2Mzb] | rollback_handlers.py:138 | rollback_update_user | Successfully rolled back user update for user: 1
2025-06-03 20:06:34 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:101 | _setup_global_logger | File logging enabled at: /workspace/migration/migrationmzsh2mzb.log
2025-06-03 20:06:34 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:112 | _setup_global_logger | Logger 'MigrationMzsh2Mzb' initialized. Effective logging level: INFO.
2025-06-03 20:07:26 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:101 | _setup_global_logger | File logging enabled at: /workspace/migration/migrationmzsh2mzb.log
2025-06-03 20:07:26 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:112 | _setup_global_logger | Logger 'MigrationMzsh2Mzb' initialized. Effective logging level: INFO.
2025-06-03 20:07:56 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:101 | _setup_global_logger | File logging enabled at: /workspace/migration/migrationmzsh2mzb.log
2025-06-03 20:07:56 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:112 | _setup_global_logger | Logger 'MigrationMzsh2Mzb' initialized. Effective logging level: INFO.
2025-06-03 20:10:58 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:101 | _setup_global_logger | File logging enabled at: /workspace/migration/migrationmzsh2mzb.log
2025-06-03 20:10:58 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:112 | _setup_global_logger | Logger 'MigrationMzsh2Mzb' initialized. Effective logging level: INFO.
2025-06-03 20:11:45 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:101 | _setup_global_logger | File logging enabled at: /workspace/migration/migrationmzsh2mzb.log
2025-06-03 20:11:45 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:112 | _setup_global_logger | Logger 'MigrationMzsh2Mzb' initialized. Effective logging level: INFO.
2025-06-03 20:12:03 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:101 | _setup_global_logger | File logging enabled at: /workspace/migration/migrationmzsh2mzb.log
2025-06-03 20:12:03 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:112 | _setup_global_logger | Logger 'MigrationMzsh2Mzb' initialized. Effective logging level: INFO.
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:101 | _setup_global_logger | File logging enabled at: /workspace/migration/migrationmzsh2mzb.log
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | logging_setup.py:112 | _setup_global_logger | Logger 'MigrationMzsh2Mzb' initialized. Effective logging level: INFO.
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:97 | __init__ | TransactionManager initialized with checkpoint_interval=50
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | rollback_handlers.py:66 | __init__ | DatabaseRollbackHandlers initialized with 9 handlers
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:126 | transaction | Started transaction 653b65bf-c6b1-4a77-982e-72cd70cf4952
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | data_transformer.py:319 | transform_data_with_transactions | Starting transactional data transformation with transaction ID: 653b65bf-c6b1-4a77-982e-72cd70cf4952
2025-06-03 20:12:16 - ERROR    [MigrationMzsh2Mzb] | data_transformer.py:369 | transform_data_with_transactions | Error during transactional transformation: name 'secrets' is not defined
2025-06-03 20:12:16 - ERROR    [MigrationMzsh2Mzb] | transaction_manager.py:137 | transaction | Transaction 653b65bf-c6b1-4a77-982e-72cd70cf4952 failed: name 'secrets' is not defined
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:323 | _rollback_transaction | Rolled back transaction 653b65bf-c6b1-4a77-982e-72cd70cf4952: name 'secrets' is not defined
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:97 | __init__ | TransactionManager initialized with checkpoint_interval=50
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | rollback_handlers.py:66 | __init__ | DatabaseRollbackHandlers initialized with 9 handlers
2025-06-03 20:12:16 - INFO     [MigrationMzsh2Mzb] | transaction_manager.py:126 | transaction | Started transaction 3e5b6dcb-602f-4f85-8912-02d340a51b25
